Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Label,Population,Revenue_Per_Month,Charge_Evolution,Refund_Rate,Has_Been_Refunded,Billing_Complexity,Services_Count,Streaming_Count,Security_Score,Full_Protection_Score,Support_Profile,Service_Diversity_Score,Referral_Rate,Heavy_Internet_User,Internet_Value,Contract_Encoded,Engagement_Score,Contract_Risk,Contract_Tenure_Mismatch,Locked_Value,Tenure_Segment,Vulnerable_Senior,Family_Profile,Digital_Profile,High_Value_At_Risk,NPS_Label
Male,19,Yes,No,Yes,No,0,Mission Viejo,Yes,3,71,No Offer,Yes,2.43,No,Yes,Cable,58,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,70.85,4973.4,0.0,0,172.53,5145.929999999999,4,No,46371,72.47788732394365,-1.6278873239436535,0.0,0,1,6,2,3,3,1,6,0.04225352112676056,1,116.0,2,142,0,0,12,3,0,0,0,0,1
Male,75,No,Yes,Yes,No,0,Wildomar,Yes,2,71,No Offer,Yes,1.23,No,Yes,Fiber Optic,9,No,Yes,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Credit Card,95.5,6707.15,0.0,0,87.33,6794.48,4,No,19368,95.6969014084507,-0.19690140845069948,0.0,0,1,5,1,3,3,1,5,0.028169014084507043,0,27.0,2,142,0,0,10,3,0,0,0,0,1
Female,67,No,Yes,Yes,No,0,Whittier,Yes,8,67,No Offer,Yes,38.47,Yes,Yes,Fiber Optic,20,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,107.05,7142.5,0.0,0,2577.49,9719.99,3,No,19109,145.0744776119403,-38.0244776119403,0.0,0,1,6,2,2,2,0,6,0.11940298507462686,0,60.0,1,67,0,0,6,3,1,0,0,0,0
Female,60,No,No,Yes,No,0,Rowland Heights,Yes,1,45,No Offer,Yes,42.04,No,Yes,Cable,26,No,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,54.15,2319.8,0.0,0,1891.8,4211.6,2,Yes,46342,93.59111111111112,-39.44111111111112,0.0,0,1,3,0,2,2,0,3,0.022222222222222223,0,52.0,1,45,0,0,3,2,0,0,0,0,0
Male,43,No,No,No,No,0,Temecula,No,0,52,Offer B,Yes,31.31,No,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,91.25,4738.3,0.0,0,1628.12,6366.42,3,No,3070,122.43115384615385,-31.181153846153848,0.0,0,1,4,1,2,2,0,4,0.0,0,36.0,1,52,0,0,4,3,0,0,0,0,0
Female,23,Yes,No,Yes,Yes,3,Ben Lomond,Yes,4,10,Offer E,Yes,20.05,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.0,200.0,0.0,0,200.5,400.5,4,No,6407,40.05,-20.049999999999997,0.0,0,1,0,0,0,0,0,0,0.4,0,0.0,2,20,0,0,0,0,0,1,0,0,1
Female,21,Yes,No,No,No,0,Los Angeles,No,0,5,Offer E,Yes,29.74,Yes,Yes,Fiber Optic,42,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,82.75,417.75,0.0,0,148.7,566.45,4,No,21728,113.29,-30.540000000000006,0.0,0,1,4,0,2,2,1,4,0.0,1,126.0,0,0,1,0,0,0,0,0,1,0,1
Female,21,Yes,No,Yes,Yes,2,Stanford,Yes,1,44,No Offer,Yes,4.17,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.6,780.25,0.0,0,183.48,963.73,5,No,13386,21.902954545454545,-2.3029545454545435,0.0,0,1,0,0,0,0,0,0,0.022727272727272728,0,0.0,0,0,0,1,0,2,0,1,0,0,2
Male,78,No,Yes,No,No,0,Los Angeles,No,0,1,No Offer,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,Yes,68701,59.65,-20.0,0.0,0,1,2,1,1,1,0,2,0.0,0,8.0,0,0,1,0,0,0,1,0,1,1,0
Female,32,No,No,No,No,0,Rancho Santa Fe,No,0,47,Offer B,Yes,2.45,No,Yes,Fiber Optic,13,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.7,4730.6,0.0,0,115.15,4845.75,4,No,7615,103.10106382978724,0.5989361702127667,0.0,0,1,7,3,3,3,1,7,0.0,0,39.0,1,47,0,0,7,2,0,0,1,0,1
Female,29,Yes,No,No,No,0,Half Moon Bay,No,0,60,No Offer,Yes,37.95,Yes,Yes,DSL,27,Yes,No,Yes,Yes,No,No,No,No,One Year,No,Bank Withdrawal,64.75,4039.5,0.0,120,2277.0,6436.5,3,No,17929,107.275,-42.525000000000006,0.0,0,2,4,0,3,3,1,4,0.0,0,27.0,1,60,0,0,4,3,0,0,0,0,0
Male,40,No,No,No,No,0,Laguna Beach,No,0,1,Offer E,Yes,13.85,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.65,19.65,0.0,0,13.85,33.5,3,No,25206,33.5,-13.850000000000001,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0
Female,45,No,No,No,No,0,Alturas,No,0,2,Offer E,Yes,25.56,Yes,Yes,Fiber Optic,6,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,79.55,151.75,0.0,0,51.12,202.87,4,No,5096,101.435,-21.885000000000005,0.0,0,1,3,0,1,1,0,3,0.0,0,18.0,0,0,1,0,0,0,0,0,0,1,1
Female,39,No,No,No,Yes,2,Stevenson Ranch,No,0,4,No Offer,Yes,29.4,No,Yes,Fiber Optic,17,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.15,268.35,21.69,0,117.6,364.26,2,Yes,9937,91.065,-20.914999999999992,0.05954537967385934,1,2,1,0,0,0,0,1,0.0,0,51.0,0,0,1,0,0,0,0,0,1,0,0
Female,49,No,No,No,Yes,1,Foothill Ranch,No,0,11,No Offer,No,0.0,No,Yes,DSL,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.2,321.05,0.0,0,0.0,321.05,3,No,10936,29.186363636363637,-3.986363636363638,0.0,0,0,1,0,0,0,0,1,0.0,0,19.0,0,0,1,0,0,0,0,0,0,1,0
Female,55,No,No,Yes,No,0,Kenwood,Yes,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,3,No,1653,157.11202898550724,-41.11202898550724,0.0,0,1,9,3,4,4,1,9,0.043478260869565216,0,81.0,2,138,0,0,18,3,0,0,1,0,0
Female,52,No,No,Yes,No,0,Rancho Cordova,Yes,8,4,No Offer,Yes,44.73,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.5,79.05,0.0,0,178.92,257.96999999999997,5,No,299,64.49249999999999,-43.99249999999999,0.0,0,1,0,0,0,0,0,0,2.0,0,0.0,1,4,0,0,0,0,0,0,0,0,2
Female,30,No,No,No,No,0,Mckinleyville,No,0,1,No Offer,Yes,8.23,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.55,19.55,0.0,0,8.23,27.78,4,No,15921,27.78,-8.23,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,1,1
Male,57,No,No,No,No,0,Glendale,No,0,43,No Offer,Yes,3.18,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.55,876.15,15.17,0,136.74,997.72,5,No,16910,23.20279069767442,-3.652790697674419,0.01520466663993906,1,2,0,0,0,0,0,0,0.0,0,0.0,2,86,0,0,0,2,0,0,0,0,2
Male,38,No,No,No,No,0,San Jose,No,0,60,Offer B,No,0.0,No,Yes,DSL,25,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,39.6,2424.5,38.46,0,0.0,2386.04,3,No,57748,39.76733333333333,-0.16733333333333178,0.016118757439104122,1,1,4,0,3,3,0,4,0.0,0,25.0,2,120,0,0,8,3,0,0,0,0,0
Female,34,No,No,Yes,Yes,1,Hawaiian Gardens,Yes,7,34,Offer C,Yes,49.58,No,Yes,Cable,16,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Mailed Check,60.8,2042.05,0.0,0,1685.72,3727.77,4,No,14852,109.64029411764706,-48.84029411764706,0.0,0,1,4,0,3,3,0,4,0.20588235294117646,0,32.0,1,34,0,0,4,2,0,1,0,0,1
Female,34,No,No,No,No,0,Daly City,No,0,8,No Offer,Yes,36.39,No,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.1,679.3,0.0,0,291.12,970.42,1,Yes,47453,121.3025,-41.2025,0.0,0,1,2,1,0,0,0,2,0.0,0,21.0,0,0,1,0,0,0,0,0,1,0,0
Male,25,Yes,No,Yes,No,0,Stockton,Yes,2,68,Offer A,Yes,24.01,Yes,Yes,Fiber Optic,48,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,107.7,7320.9,0.0,0,1632.68,8953.58,3,No,49965,131.67029411764705,-23.970294117647043,0.0,0,1,8,3,3,3,0,8,0.029411764705882353,1,144.0,0,0,0,1,0,3,0,0,1,0,0
Female,53,No,No,No,No,0,San Diego,No,0,6,No Offer,Yes,1.15,Yes,Yes,Fiber Optic,3,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.1,521.3,0.0,0,6.8999999999999995,528.1999999999999,1,Yes,46086,88.03333333333332,2.066666666666677,0.0,0,1,4,1,1,1,0,4,0.0,0,9.0,0,0,1,0,0,0,0,0,1,1,0
Male,33,No,No,Yes,Yes,2,Crescent Mills,Yes,4,13,No Offer,Yes,13.77,Yes,Yes,DSL,23,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,72.8,930.05,0.0,0,179.01,1109.06,4,No,178,85.31230769230768,-12.512307692307687,0.0,0,1,6,1,3,3,1,6,0.3076923076923077,0,23.0,0,0,0,0,0,1,0,1,1,0,1
Female,80,No,Yes,No,No,0,Dunlap,No,0,14,No Offer,Yes,29.96,Yes,Yes,Fiber Optic,7,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.85,1531.4,0.0,0,419.44,1950.8400000000001,1,Yes,506,139.3457142857143,-34.495714285714314,0.0,0,1,6,2,2,2,0,6,0.0,0,21.0,0,0,0,0,0,1,1,0,1,0,0
Female,54,No,No,No,Yes,1,Gardena,No,0,11,No Offer,No,0.0,No,Yes,DSL,17,Yes,No,No,Yes,No,No,No,No,One Year,Yes,Credit Card,36.05,402.6,0.0,100,0.0,502.6,4,No,9960,45.690909090909095,-9.640909090909098,0.0,0,1,2,0,2,2,0,2,0.0,0,17.0,1,11,0,0,2,0,0,0,0,0,1
Female,58,No,No,No,No,0,Mckinleyville,No,0,45,No Offer,Yes,1.57,Yes,Yes,Fiber Optic,30,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,96.75,4442.75,0.0,0,70.65,4513.4,4,No,15921,100.29777777777777,-3.5477777777777675,0.0,0,1,6,2,2,2,0,6,0.0,1,90.0,1,45,0,0,6,2,0,0,0,0,1
Male,42,No,No,No,No,0,Happy Camp,No,0,49,No Offer,Yes,18.97,Yes,Yes,Fiber Optic,3,No,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.6,5069.65,0.0,0,929.53,5999.179999999999,2,Yes,1294,122.43224489795917,-21.83224489795917,0.0,0,1,6,3,1,1,0,6,0.0,0,9.0,1,49,0,0,6,3,0,0,1,0,0
Male,42,No,No,Yes,Yes,1,Palmdale,Yes,1,14,No Offer,Yes,45.6,No,Yes,Cable,19,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,65.45,937.6,0.0,0,638.4,1576.0,1,Yes,67232,112.57142857142857,-47.12142857142857,0.0,0,1,4,1,2,2,0,4,0.07142857142857142,0,38.0,0,0,0,0,0,1,0,1,1,0,0
Female,47,No,No,Yes,Yes,7,Firebaugh,Yes,6,20,Offer D,Yes,36.85,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,25.55,507.4,0.0,0,737.0,1244.4,4,No,9491,62.220000000000006,-36.67,0.0,0,1,1,0,0,0,0,1,0.3,0,0.0,0,0,0,0,0,1,0,1,0,0,1
Female,20,Yes,No,Yes,No,0,Mentone,Yes,3,55,No Offer,Yes,23.45,Yes,Yes,Fiber Optic,53,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,77.75,4266.4,0.0,0,1289.75,5556.15,3,No,7324,101.02090909090909,-23.270909090909086,0.0,0,1,3,0,1,1,0,3,0.05454545454545454,1,159.0,0,0,0,1,0,3,0,0,0,0,0
Female,24,Yes,No,Yes,No,0,Irvine,Yes,8,33,Offer C,Yes,8.79,No,Yes,Cable,27,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,58.45,1955.4,0.0,0,290.07,2245.4700000000003,4,No,26419,68.04454545454546,-9.594545454545454,0.0,0,1,4,0,3,3,0,4,0.24242424242424243,0,54.0,1,33,0,0,4,2,0,0,0,0,1
Male,33,No,No,Yes,No,0,Huntington Beach,Yes,1,51,Offer B,Yes,40.34,No,Yes,DSL,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,83.25,4089.45,0.0,0,2057.34,6146.79,3,No,42663,120.52529411764706,-37.275294117647064,0.0,0,1,8,3,4,4,1,8,0.0196078431372549,0,9.0,2,102,0,0,16,3,0,0,0,0,0
Male,21,Yes,No,Yes,Yes,1,Paso Robles,Yes,6,45,Offer B,Yes,17.23,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.2,903.7,0.0,0,775.35,1679.0500000000002,3,No,35586,37.312222222222225,-18.112222222222226,0.0,0,1,0,0,0,0,0,0,0.13333333333333333,0,0.0,2,90,0,0,0,2,0,1,0,0,0
Female,42,No,No,No,No,0,Buttonwillow,No,0,5,No Offer,Yes,24.83,No,Yes,DSL,26,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,55.8,300.4,0.0,0,124.14999999999999,424.54999999999995,4,No,2078,84.91,-29.11,0.0,0,1,3,0,2,2,0,3,0.0,0,26.0,0,0,1,0,0,0,0,0,0,0,1
Male,40,No,No,Yes,Yes,2,Woodland Hills,Yes,1,4,Offer E,Yes,25.9,No,Yes,DSL,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.8,169.65,0.0,0,103.6,273.25,5,No,25988,68.3125,-23.512500000000003,0.0,0,1,1,0,0,0,0,1,0.25,0,19.0,0,0,1,0,0,0,0,1,0,0,2
Male,71,No,Yes,Yes,No,0,Thousand Oaks,Yes,1,32,No Offer,Yes,2.08,No,Yes,Fiber Optic,25,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,80.3,2483.05,0.0,0,66.56,2549.61,1,Yes,42526,79.6753125,0.6246874999999932,0.0,0,1,3,2,0,0,0,3,0.03125,0,75.0,0,0,0,1,0,2,1,0,0,0,0
Male,23,Yes,No,Yes,Yes,3,Glennville,Yes,1,71,Offer A,Yes,14.14,No,Yes,Fiber Optic,59,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.65,7288.4,0.0,0,1003.94,8292.34,4,No,296,116.79352112676057,-12.143521126760561,0.0,0,1,7,3,3,3,0,7,0.014084507042253521,1,177.0,1,71,0,0,7,3,0,1,1,0,1
Male,40,No,No,No,No,0,San Francisco,No,0,3,No Offer,Yes,12.05,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,21.2,52.05,0.0,0,36.150000000000006,88.2,5,No,22920,29.400000000000002,-8.200000000000003,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,1,3,0,0,0,0,0,0,0,0,2
Female,25,Yes,No,Yes,No,0,Huntington Park,Yes,5,4,No Offer,Yes,48.48,No,Yes,Fiber Optic,58,No,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.75,325.45,0.0,0,193.92,519.37,1,Yes,78114,129.8425,-56.0925,0.0,0,1,3,1,1,1,0,3,1.25,1,174.0,0,0,1,0,0,0,0,0,1,0,0
Male,25,Yes,No,No,No,0,Irvine,No,0,2,No Offer,Yes,37.7,No,Yes,Fiber Optic,73,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.95,174.45,0.0,0,75.4,249.85,5,No,17621,124.925,-44.974999999999994,0.0,0,1,2,1,0,0,0,2,0.0,1,219.0,0,0,1,0,0,0,0,0,1,0,2
Male,71,No,Yes,Yes,No,0,Running Springs,Yes,1,66,No Offer,Yes,30.03,Yes,Yes,DSL,15,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,No,Credit Card,79.4,5154.6,0.0,150,1981.98,7286.58,1,Yes,5395,110.40272727272728,-31.00272727272727,0.0,0,2,6,1,4,4,1,6,0.015151515151515152,0,15.0,2,132,0,0,12,3,0,0,0,0,0
Male,27,Yes,No,Yes,No,0,Fallbrook,Yes,1,71,Offer A,Yes,3.86,Yes,Yes,Fiber Optic,85,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,104.15,7365.3,0.0,0,274.06,7639.360000000001,4,No,42239,107.59661971830987,-3.4466197183098615,0.0,0,1,7,3,2,2,0,7,0.014084507042253521,1,255.0,2,142,0,0,14,3,0,0,0,0,1
Male,56,No,No,Yes,No,0,Carnelian Bay,Yes,4,37,No Offer,Yes,6.99,No,Yes,Fiber Optic,22,No,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.35,3419.3,0.0,150,258.63,3827.9300000000003,3,No,1943,103.45756756756758,-13.107567567567585,0.0,0,2,4,2,2,2,1,4,0.10810810810810811,0,66.0,0,0,0,1,0,2,0,0,1,0,0
Male,49,No,No,Yes,Yes,2,Imperial,Yes,10,69,Offer A,Yes,28.19,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.9,1356.7,0.0,0,1945.1100000000001,3301.8100000000004,3,No,14546,47.85231884057971,-27.952318840579714,0.0,0,1,0,0,0,0,0,0,0.14492753623188406,0,0.0,2,138,0,0,0,3,0,1,0,0,0
Female,60,No,No,Yes,Yes,3,Mount Hermon,Yes,3,31,Offer C,Yes,9.8,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,21.0,697.7,0.0,0,303.8,1001.5,3,No,77,32.306451612903224,-11.306451612903224,0.0,0,1,0,0,0,0,0,0,0.0967741935483871,0,0.0,2,62,0,0,0,2,0,1,0,0,0
Female,74,No,Yes,No,No,0,Strathmore,No,0,40,No Offer,Yes,28.54,Yes,Yes,Fiber Optic,24,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card,103.75,4188.4,0.0,0,1141.6,5330.0,3,No,5689,133.25,-29.5,0.0,0,1,6,2,2,2,1,6,0.0,0,72.0,1,40,0,0,6,2,0,0,0,0,0
Male,61,No,No,Yes,Yes,3,Soledad,Yes,10,34,Offer C,Yes,20.05,Yes,Yes,Fiber Optic,57,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,90.05,3097.0,0.0,0,681.7,3778.7,4,No,13003,111.13823529411764,-21.088235294117638,0.0,0,1,5,2,1,1,0,5,0.29411764705882354,1,171.0,0,0,0,1,0,2,0,1,0,0,1
Female,44,No,No,No,No,0,Upland,No,0,10,Offer D,Yes,45.56,No,Yes,DSL,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,51.2,498.25,0.0,0,455.6,953.85,4,No,48827,95.385,-44.185,0.0,0,1,2,0,1,1,0,2,0.0,0,17.0,0,0,1,0,0,0,0,0,0,1,1
Male,19,Yes,No,Yes,Yes,3,Davis,Yes,8,63,Offer B,Yes,24.5,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.25,1573.05,0.0,0,1543.5,3116.55,5,No,648,49.46904761904762,-24.219047619047622,0.0,0,1,1,0,0,0,0,1,0.12698412698412698,0,0.0,2,126,0,0,2,3,0,1,0,0,2
Female,53,No,No,Yes,No,0,Solvang,Yes,7,70,No Offer,Yes,9.28,Yes,Yes,DSL,24,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,84.8,5917.55,0.0,120,649.5999999999999,6687.15,4,No,7958,95.53071428571428,-10.730714285714285,0.0,0,2,7,3,3,3,1,7,0.1,0,24.0,2,140,0,0,14,3,0,0,1,0,1
Female,41,No,No,No,No,0,Shasta Lake,No,0,20,No Offer,No,0.0,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,24.9,505.95,0.0,0,0.0,505.95,5,No,6277,25.2975,-0.39750000000000085,0.0,0,0,1,0,0,0,0,1,0.0,0,21.0,0,0,0,0,0,1,0,0,0,0,2
Male,65,No,Yes,Yes,No,0,San Jose,Yes,1,39,No Offer,Yes,33.25,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,3,Yes,32804,143.11666666666667,-37.46666666666667,0.0,0,1,7,3,2,2,0,7,0.02564102564102564,0,78.0,0,0,0,1,0,2,1,0,1,0,0
Female,51,No,No,Yes,Yes,2,Sacramento,Yes,1,72,No Offer,Yes,41.55,No,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,108.3,7679.65,36.13,50,2991.6,10685.119999999999,4,No,30580,148.40444444444444,-40.10444444444444,0.0033813377856308593,1,3,7,3,4,4,1,7,0.013888888888888888,0,75.0,2,144,0,0,14,3,0,1,1,0,1
Male,71,No,Yes,Yes,No,0,North Palm Springs,Yes,1,46,Offer B,Yes,48.62,No,Yes,Fiber Optic,3,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,80.4,3605.2,0.0,20,2236.52,5861.719999999999,3,Yes,732,127.4286956521739,-47.028695652173894,0.0,0,2,1,1,0,0,0,1,0.021739130434782608,0,9.0,0,0,0,1,0,2,1,0,1,0,0
Male,56,No,No,Yes,Yes,3,San Diego,Yes,8,13,No Offer,Yes,28.15,No,Yes,Cable,56,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,61.8,750.1,0.0,0,365.95,1116.05,3,No,47431,85.85,-24.049999999999997,0.0,0,1,4,0,3,3,1,4,0.6153846153846154,1,112.0,0,0,0,0,0,1,0,1,0,0,0
Male,33,No,No,Yes,No,0,Hermosa Beach,Yes,4,6,No Offer,Yes,21.23,Yes,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,438.0,0.0,0,127.38,565.38,1,Yes,18693,94.23,-18.730000000000004,0.0,0,1,2,0,0,0,0,2,0.6666666666666666,0,39.0,0,0,1,0,0,0,0,0,1,1,0
Female,32,No,No,No,No,0,Salinas,No,0,68,No Offer,Yes,48.41,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,1424.9,0.0,0,3291.8799999999997,4716.78,4,No,13027,69.36441176470588,-48.86441176470588,0.0,0,1,0,0,0,0,0,0,0.0,0,0.0,2,136,0,0,0,3,0,0,0,0,1
Male,80,No,Yes,Yes,No,0,San Diego,Yes,1,46,Offer B,Yes,5.36,Yes,Yes,Fiber Optic,22,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.0,4680.05,0.0,0,246.56,4926.610000000001,1,Yes,47224,107.10021739130435,-6.100217391304355,0.0,0,1,5,2,1,1,0,5,0.021739130434782608,0,66.0,0,0,0,1,0,2,1,0,1,0,0
Female,73,No,Yes,Yes,No,0,Fallbrook,Yes,1,1,No Offer,Yes,31.27,Yes,Yes,Fiber Optic,11,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,74.45,74.45,0.0,10,31.27,115.72,2,Yes,42239,115.72,-41.269999999999996,0.0,0,2,1,0,0,0,0,1,1.0,0,33.0,0,0,1,0,0,0,1,0,1,0,0
Male,47,No,No,No,No,0,Redwood Valley,No,0,54,No Offer,Yes,18.74,No,Yes,DSL,16,Yes,Yes,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,65.3,3512.9,0.0,0,1011.9599999999999,4524.86,3,No,5995,83.7937037037037,-18.4937037037037,0.0,0,1,4,1,2,2,0,4,0.0,0,16.0,2,108,0,0,8,3,0,0,1,0,0
Female,58,No,No,Yes,Yes,1,Littlerock,Yes,2,14,No Offer,Yes,41.05,No,No,No Internet,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,19.5,272.0,0.0,0,574.6999999999999,846.6999999999999,3,No,11198,60.47857142857142,-40.97857142857142,0.0,0,1,0,0,0,0,0,0,0.14285714285714285,0,0.0,1,14,0,0,0,1,0,1,0,0,0
Male,47,No,No,No,No,0,Freedom,No,0,64,No Offer,Yes,25.95,Yes,Yes,Fiber Optic,23,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,104.65,6889.8,0.0,0,1660.8,8550.6,4,No,4753,133.603125,-28.953125,0.0,0,1,7,3,2,2,1,7,0.0,0,69.0,1,64,0,0,7,3,0,0,0,0,1
Female,20,Yes,No,No,No,0,Ahwahnee,No,0,1,No Offer,Yes,29.41,No,Yes,Fiber Optic,59,No,No,No,No,Yes,No,Yes,No,Month-to-Month,No,Bank Withdrawal,78.05,78.05,0.0,10,29.41,117.46,1,Yes,1968,117.46,-39.41,0.0,0,2,2,2,0,0,0,2,0.0,1,177.0,0,0,1,0,0,0,0,0,0,0,0
Male,21,Yes,No,No,No,0,Escalon,No,0,3,Offer E,Yes,29.84,No,Yes,Fiber Optic,30,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,85.7,256.75,0.0,0,89.52,346.27,5,No,11474,115.42333333333333,-29.72333333333333,0.0,0,1,4,2,1,1,0,4,0.0,1,90.0,0,0,1,0,0,0,0,0,0,1,2
Male,62,No,No,No,No,0,San Diego,No,0,1,Offer E,Yes,38.53,No,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,69.4,69.4,0.0,0,38.53,107.93,1,Yes,28201,107.93,-38.53,0.0,0,1,1,0,0,0,0,1,0.0,0,60.0,0,0,1,0,0,0,0,0,0,0,0
